产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
食用油脂及其制品-->食用植物油,建三江非转基因大豆油,黑龙江省建三江农垦荣氏粮油工贸有限公司,黑龙江市场监管局,合格,2015-02-04,,5L/桶,建三江,黑龙江省建三江农垦荣氏粮油工贸有限公司,,黑龙江省建三江农垦荣氏粮油工贸有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476612
食用油脂及其制品-->食用植物油,九三大豆油,九三集团哈尔滨惠康食品有限公司,黑龙江市场监管局,合格,2015-02-04,,1.8L/桶,九三,九三集团哈尔滨惠康食品有限公司,,九三集团哈尔滨惠康食品有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476613
食用油脂及其制品-->食用植物油,万年兴玉米油,黑龙江兴贸食品有限公司,黑龙江市场监管局,合格,2015-02-04,,3.5L/瓶,万年兴,黑龙江兴贸食品,,黑龙江兴贸食品有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476614
食用油脂及其制品-->食用植物油,万年玉米油,黑龙江兴贸食品有限公司,黑龙江市场监管局,合格,2015-02-04,,4L/瓶,万年,黑龙江兴贸食品,,黑龙江兴贸食品有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476615
食用油脂及其制品-->食用植物油,万年玉米油,黑龙江兴贸食品有限公司,黑龙江市场监管局,合格,2015-02-04,,1.8L/瓶,万年,黑龙江兴贸食品,,黑龙江兴贸食品有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476616
食用油脂及其制品-->食用植物油,万年玉米油,黑龙江兴贸食品有限公司,黑龙江市场监管局,合格,2015-02-04,,5L/瓶,万年,黑龙江兴贸食品,,黑龙江兴贸食品有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476617
食用油脂及其制品-->食用植物油,伊红伊松红,黑龙江中盟天隆食品科技有限公司,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,,黑龙江中盟天隆食品,,黑龙江中盟天隆食品科技有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476618
食用油脂及其制品-->食用植物油,伊红伊松榛子油,黑龙江中盟天隆食品科技有限公司,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,,黑龙江中盟天隆食品,,黑龙江中盟天隆食品科技有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476619
食用油脂及其制品-->食用植物油,玉米胚芽油,黑龙江凯玛特超市有限公司光明城分公司,黑龙江市场监管局,合格,2015-02-04,,1L/瓶,西王,山东西王食品有限公司,,黑龙江凯玛特超市有限公司光明城分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476600
食用油脂及其制品-->食用植物油,玉米油,黑龙江凯玛特超市有限公司光明城分公司,黑龙江市场监管局,合格,2015-02-04,,800ml/桶,万年,黑龙江兴贸食品,,黑龙江凯玛特超市有限公司光明城分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476601
